"","ecoregion_name","code","biome","long","lat","sec_type","value","pri_type"
"95","Lesser Antillean dry forests","NT0220","Tropical Deciduous Forest",-62.56,12.821,"bird_num",344,"Species Data"
"96","Magdalena Valley dry forests","NT0221","Tropical Deciduous Forest",-75.1,3.775,"bird_num",348,"Species Data"
"97","Maracaibo dry forests","NT0222","Tropical Deciduous Forest",-71.509,9.922,"bird_num",397,"Species Data"
"98","Maranon dry forests","NT0223","Tropical Deciduous Forest",-78.25,-6.472,"bird_num",156,"Species Data"
"99","Panamanian dry forests","NT0224","Tropical Deciduous Forest",-80.167,8.542,"bird_num",273,"Species Data"
"100","Patia Valley dry forests","NT0225","Tropical Deciduous Forest",-77.25,1.75,"bird_num",124,"Species Data"
"101","Puerto Rican dry forests","NT0226","Tropical Deciduous Forest",-66.393,18.25,"bird_num",181,"Species Data"
"102","Sierra de la Laguna dry forests","NT0227","Tropical Deciduous Forest",-110.028,23.528,"bird_num",194,"Species Data"
"103","Sinaloan dry forests","NT0228","Tropical Deciduous Forest",-106.223,24.195,"bird_num",325,"Species Data"
"104","Sinu Valley dry forests","NT0229","Tropical Deciduous Forest",-73.917,10.202,"bird_num",396,"Species Data"
"105","Southern Pacific dry forests","NT0230","Tropical Deciduous Forest",-97.618,16.829,"bird_num",299,"Species Data"
"106","Tumbes-Piura dry forests","NT0232","Tropical Deciduous Forest",-80,-5.35,"bird_num",295,"Species Data"
"107","Veracruz dry forests","NT0233","Tropical Deciduous Forest",-96.55,19.15,"bird_num",295,"Species Data"
"108","Yucatan dry forests","NT0235","Tropical Deciduous Forest",-88.957,20.457,"bird_num",295,"Species Data"
"109","Bahamian pine mosaic","NT0301","Tropical Coniferous Forest",-76.105,22.638,"bird_num",218,"Species Data"
"110","Belizean pine forests","NT0302","Tropical Coniferous Forest",-88.515,17.015,"bird_num",272,"Species Data"
"111","Central American pine-oak forests","NT0303","Tropical Coniferous Forest",-89.267,15.046,"bird_num",349,"Species Data"
"112","Cuban pine forests","NT0304","Tropical Coniferous Forest",-80.054,21.589,"bird_num",249,"Species Data"
"113","Hispaniolan pine forests","NT0305","Tropical Coniferous Forest",-71.75,18.825,"bird_num",214,"Species Data"
"114","Miskito pine forests","NT0306","Tropical Coniferous Forest",-84.068,14.659,"bird_num",240,"Species Data"
"115","Sierra de la Laguna pine-oak forests","NT0307","Tropical Coniferous Forest",-110.083,23.5,"bird_num",171,"Species Data"
"116","Sierra Madre de Oaxaca pine-oak forests","NT0308","Tropical Coniferous Forest",-96.008,17.202,"bird_num",447,"Species Data"
"117","Sierra Madre del Sur pine-oak forests","NT0309","Tropical Coniferous Forest",-99.325,17.551,"bird_num",330,"Species Data"
"118","Trans-Mexican Volcanic Belt pine-oak forests","NT0310","Tropical Coniferous Forest",-101.51,20.248,"bird_num",335,"Species Data"
"119","Magellanic subpolar forests","NT0402","Temperate Moist Forest",-72.782,-51.912,"bird_num",122,"Species Data"
"120","Valdivian temperate forests","NT0404","Temperate Moist Forest",-73.12,-42.651,"bird_num",177,"Species Data"
"121","Beni savanna","NT0702","Tropical Grasslands",-66.019,-13.247,"bird_num",509,"Species Data"
"122","Campos Rupestres montane savanna","NT0703","Tropical Grasslands",-43.66,-18.722,"bird_num",334,"Species Data"
"123","Cerrado","NT0704","Tropical Grasslands",-50.114,-15.179,"bird_num",571,"Species Data"
"124","Guianan savanna","NT0707","Tropical Grasslands",-59.185,3.76,"bird_num",444,"Species Data"
"125","Humid Chaco","NT0708","Tropical Grasslands",-58.75,-26.127,"bird_num",431,"Species Data"
"126","Llanos","NT0709","Tropical Grasslands",-67.946,6.697,"bird_num",414,"Species Data"
"127","Uruguayan savanna","NT0710","Tropical Grasslands",-54.803,-31.25,"bird_num",350,"Species Data"
"128","Espinal","NT0801","Grasslands",-62.8,-34.435,"bird_num",311,"Species Data"
"129","Low Monte","NT0802","Grasslands",-67.126,-38.274,"bird_num",200,"Species Data"
"130","Humid Pampas","NT0803","Grasslands",-60.852,-35.242,"bird_num",266,"Species Data"
"131","Patagonian steppe","NT0805","Grasslands",-68.462,-45.891,"bird_num",222,"Species Data"
"132","Cuban wetlands","NT0902","Flooded Grasslands",-80.523,21.932,"bird_num",250,"Species Data"
"133","Enriquillo wetlands","NT0903","Flooded Grasslands",-71.321,18.464,"bird_num",206,"Species Data"
