"","code","mad_prec","mad_temp","max_prec","max_temp","max3m_prec","max3m_temp","med_temp","min_prec","min_temp","min3m_prec","min3m_temp","tot_prec","areakm2","long","lat","elev","rain_south","rain_west","temp_south","temp_west","patch_num","mad_elev","ecoregion_name","biome","bird_num","mammal_num","reptile_num","amphibian_num","total_num"
"43","NT0146",68.9409,2.29803,323.2,20.5,761.5,20.13333333,18.45,40.8,14.8,128.9,15.3,1653,7577,-96.386,17.977,1169.95,285.09,38.27,21.56,18,5,498.8949,"Oaxacan montane forests","Tropical Moist Forest",323,185,92,51,651
"44","NT0147",71.68371,0.59304,247.85,27.3,688.6,27.23333333,26.8,58.3,25.5,196.3,25.73333333,1745.75,28028,-61.89,9.17,92.36,200.17,92.05,26.27,25.49,1,0,"Orinoco Delta swamp forests","Tropical Moist Forest",405,192,22,10,629
"45","NT0148",101.595165,2.00151,357.8,29.25,879.45,28.93333333,27.425,51.95,23.3,177.7,23.96666667,2009.1,17153,-92.159,18.068,37.73,222.72,105.94,28.54,24.01,1,8.8956,"Pantanos de Centla","Tropical Moist Forest",360,130,45,18,553
"46","NT0149",76.613355,0.66717,300.6,28,816.75,27.9,26.95,68.45,26.2,247.3,26.33333333,2141.85,7690,-55.75,5.6,72.7,226.47,184.94,26.89,26.16,1,8.8956,"Guianan Freshwater swamp forests","Tropical Moist Forest",565,177,70,33,845
"47","NT0150",49.07406,3.48411,195.5,25.6,541.45,25.23333333,21.95,48.3,17,192.2,17.6,1541.95,482879,-51.079,-23.145,470.4,198.31,70.06,24.57,18.2,13,182.3598,"Alto Parana Atlantic forests","Tropical Moist Forest",586,213,163,303,1265
"48","NT0151",93.18141,1.33434,236.55,25.5,690.85,25.4,24.475,33.55,22.3,125.65,22.55,1484.55,17502,-35.809,-8.397,291.94,55.83,165.61,26.04,23.07,3,115.6428,"Pernambuco coastal forests","Tropical Moist Forest",407,122,84,36,649
"49","NT0152",70.015785,1.55673,194.8,26.5,516.3,26.33333333,25.35,26.35,22.7,96.4,22.96666667,1144.4,22597,-36.185,-8.54,288.26,53.58,142.71,26.19,23.12,6,174.9468,"Pernambuco interior forests","Tropical Moist Forest",343,132,25,38,538
"50","NT0153",58.48857,0.59304,153.6,15.5,426.4,15.33333333,14.75,16.4,13.3,61.2,13.7,892.8,185961,-75.005,-10.44,2489.25,169.01,35.57,15.96,14.69,3,1492.9782,"Peruvian Yungas","Tropical Moist Forest",645,255,80,117,1097
"51","NT0154",116.272905,1.92738,369.25,27.5,975.65,27.2,25.9,49.4,22,168.6,22.46666667,2173.15,148595,-92.006,17.318,387.98,294.36,87.59,26.07,22.09,2,170.499,"Peten-Veracruz moist forests","Tropical Moist Forest",468,191,226,103,988
"52","NT0155",70.86828,1.55673,240.1,25.6,629.5,25.5,24.4,79.2,22.2,274.1,22.43333333,1890.1,7504,-66.35,18.25,167.6,190.18,103.74,26.14,23.15,1,185.325,"Puerto Rican moist forests","Tropical Moist Forest",181,15,36,17,249
