code	areakm2	long	lat	elev	rainS	rainW	tempS	tempW	npolys	mad.elev
NT1309	68181	-66.179	9.774	361	171.77	28.22	25.1	24.87	1	147.5187
NT1312	2328	-89.75	15	1001	386.9	90.53	22.95	20.27	1	321.7242
NT1313	15909	-70.214	10.536	488.21	79.64	25.83	26.48	24.96	1	385.476
NT1314	3867	-110.083	23.817	289.8	41.83	13.79	26.41	17.81	5	123.7971
NT1315	184213	-75.138	-12.876	2393.09	49.46	0.74	14.26	11.03	2	1731.6768
NT1316	9862	-97.712	18.788	1943.69	133.51	11.37	19	15.32	2	366.2022
NT1401	40894	-57.81	5.36	89.92	191.83	111.19	26.69	26.07	72	0
NT1402	17859	-76.018	20.919	93.55	154.27	64.22	27.26	22.98	91	1.4826
NT1403	26658	-88.42	16.925	102.64	251.04	113.27	27.15	23.36	52	2.9652
NT1404	8174	-105.685	22.185	202.8	139.41	11.92	27.72	21.08	32	3.7065
NT1405	13461	-79.27	1.735	153.75	211.82	105.73	26.05	25.14	35	7.413
NT1406	10025	-41.581	-17.274	184.27	140.86	113.92	25.5	21.09	30	7.413
NT1407	7827	-86.515	11.375	206.43	268.12	20.89	26.49	25.84	31	4.4478
