measure,type,code
376.7,min3m.prec,NT0143
16.9,min3m.prec,NT0144
266,min3m.prec,NT0145
128.9,min3m.prec,NT0146
196.3,min3m.prec,NT0147
177.7,min3m.prec,NT0148
247.3,min3m.prec,NT0149
192.2,min3m.prec,NT0150
125.65,min3m.prec,NT0151
96.4,min3m.prec,NT0152
61.2,min3m.prec,NT0153
168.6,min3m.prec,NT0154
274.1,min3m.prec,NT0155
373.3,min3m.prec,NT0156
152.8,min3m.prec,NT0157
465.9,min3m.prec,NT0158
104.6,min3m.prec,NT0159
207.6,min3m.prec,NT0160
104.6,min3m.prec,NT0161
31.2,min3m.prec,NT0162
592.7,min3m.prec,NT0163
139.15,min3m.prec,NT0164
19.9,min3m.prec,NT0165
220.25,min3m.prec,NT0166
262.7,min3m.prec,NT0167
121.3,min3m.prec,NT0168
214.6,min3m.prec,NT0169
130.6,min3m.prec,NT0170
192,min3m.prec,NT0171
208.3,min3m.prec,NT0173
315.7,min3m.prec,NT0174
91.9,min3m.prec,NT0175
76.9,min3m.prec,NT0176
142,min3m.prec,NT0177
134.5,min3m.prec,NT0178
311.3,min3m.prec,NT0179
111.8,min3m.prec,NT0180
98.9,min3m.prec,NT0181
219.3,min3m.prec,NT0182
64.6,min3m.prec,NT0201
6.3,min3m.prec,NT0202
21,min3m.prec,NT0204
12.5,min3m.prec,NT0205
9.9,min3m.prec,NT0206
293.8,min3m.prec,NT0207
19.2,min3m.prec,NT0209
31.7,min3m.prec,NT0210
18.8,min3m.prec,NT0211
79.5,min3m.prec,NT0212
98.45,min3m.prec,NT0213
14.2,min3m.prec,NT0214
100.65,min3m.prec,NT0215
16.6,min3m.prec,NT0217
159.45,min3m.prec,NT0218
60.55,min3m.prec,NT0219
174.4,min3m.prec,NT0220
200.3,min3m.prec,NT0221
88.75,min3m.prec,NT0222
91.45,min3m.prec,NT0223
29.7,min3m.prec,NT0224
223.5,min3m.prec,NT0225
163.8,min3m.prec,NT0226
5.35,min3m.prec,NT0227
20,min3m.prec,NT0228
84.8,min3m.prec,NT0229
6.2,min3m.prec,NT0230
1.9,min3m.prec,NT0232
51.45,min3m.prec,NT0233
80.9,min3m.prec,NT0235
113.6,min3m.prec,NT0301
191.35,min3m.prec,NT0302
58.45,min3m.prec,NT0303
151.8,min3m.prec,NT0304
187,min3m.prec,NT0305
222.9,min3m.prec,NT0306
28.5,min3m.prec,NT0307
51.6,min3m.prec,NT0308
16.3,min3m.prec,NT0309
27.35,min3m.prec,NT0310
334.65,min3m.prec,NT0402
181.6,min3m.prec,NT0404
113.65,min3m.prec,NT0702
62.9,min3m.prec,NT0703
29.5,min3m.prec,NT0704
189.8,min3m.prec,NT0707
129.7,min3m.prec,NT0708
53.7,min3m.prec,NT0709
291.4,min3m.prec,NT0710
59.6,min3m.prec,NT0801
28.3,min3m.prec,NT0802
112.15,min3m.prec,NT0803
30.5,min3m.prec,NT0805
91.25,min3m.prec,NT0902
72.1,min3m.prec,NT0903
142.8,min3m.prec,NT0904
7.6,min3m.prec,NT0905
127.4,min3m.prec,NT0906
80.35,min3m.prec,NT0907
134.85,min3m.prec,NT0908
277.4,min3m.prec,NT0909
